campaign_id,product_id,campaign_name,start_date,end_date,spend_idr,channel,engagement_rate
MKT001,PC010,Campaign_1_PC010,2020-10-12,2020-12-14,256411579,TV,0.566
MKT002,PC008,Campaign_2_PC008,2020-06-30,2020-08-29,582461991,TV,0.376
MKT003,PC006,Campaign_3_PC006,2021-09-01,2021-09-22,884233026,TV,0.117
MKT004,PC015,Campaign_4_PC015,2025-04-23,2025-07-04,1139498941,Influencer,0.56
MKT005,PC003,Campaign_5_PC003,2021-07-15,2021-09-08,340924224,Billboard,0.091
MKT006,PC004,Campaign_6_PC004,2021-12-17,2022-01-08,1063103425,TV,0.232
MKT007,PC004,Campaign_7_PC004,2024-08-24,2024-10-31,435984919,Influencer,0.322
MKT008,PC002,Campaign_8_PC002,2022-12-15,2023-01-13,1142853570,YouTube,0.432
MKT009,PC011,Campaign_9_PC011,2024-12-18,2025-01-21,847690120,Instagram,0.5
MKT010,PC012,Campaign_10_PC012,2021-10-08,2021-11-30,903018958,Instagram,0.086
MKT011,PC014,Campaign_11_PC014,2022-04-02,2022-04-18,545071248,Instagram,0.182
MKT012,PC014,Campaign_12_PC014,2022-07-29,2022-10-25,598824442,Instagram,0.133
MKT013,PC001,Campaign_13_PC001,2025-02-24,2025-04-09,717751350,Instagram,0.422
MKT014,PC011,Campaign_14_PC011,2025-06-15,2025-09-10,758293453,YouTube,0.154
MKT015,PC015,Campaign_15_PC015,2023-04-27,2023-05-11,301471542,YouTube,0.586
MKT016,PC010,Campaign_16_PC010,2024-02-01,2024-04-04,1049223410,Instagram,0.219
MKT017,PC004,Campaign_17_PC004,2022-10-02,2022-11-28,692517693,Billboard,0.177
MKT018,PC002,Campaign_18_PC002,2023-01-10,2023-03-08,1180331583,TV,0.212
MKT019,PC013,Campaign_19_PC013,2021-12-18,2022-01-20,495290588,TikTok,0.457
MKT020,PC014,Campaign_20_PC014,2022-10-19,2022-12-10,998295178,Instagram,0.089
